Sample	Top over-represented sequence	Sum of remaining over-represented sequences
EXP001_trimmed_clipped_R1_paired	0.0	0.0
EXP001_trimmed_clipped_R2_paired	0.18776734679579282	0.10966989926258475
EXP002_trimmed_clipped_R1_paired	0.0	0.0
EXP002_trimmed_clipped_R2_paired	0.17158645370989933	0.10766527149373734
EXP157_trimmed_clipped_R1_paired	0.0	0.0
EXP157_trimmed_clipped_R2_paired	0.11960447765454431	0.0
EXP158_trimmed_clipped_R1_paired	0.0	0.0
EXP158_trimmed_clipped_R2_paired	0.1295908079111425	0.0
EXP159_trimmed_clipped_R1_paired	0.0	0.0
EXP159_trimmed_clipped_R2_paired	0.13000320280389535	0.0
EXP160_trimmed_clipped_R1_paired	0.0	0.0
EXP160_trimmed_clipped_R2_paired	0.13303248199306847	0.0
MHW001_trimmed_clipped_R1_paired	0.5030021583026201	0.9266711871947841
MHW001_trimmed_clipped_R2_paired	0.6623101324714383	1.0251531025867546
MHW002_trimmed_clipped_R1_paired	0.3990798118282516	0.8755331776762828
MHW002_trimmed_clipped_R2_paired	0.42661432397030863	1.0178254468107837
MHW003_trimmed_clipped_R1_paired	0.12285732812329311	0.0
MHW003_trimmed_clipped_R2_paired	0.15280493368765347	0.10494659786671867
MHW004_trimmed_clipped_R1_paired	0.11910787950939314	0.10705695027344495
MHW004_trimmed_clipped_R2_paired	0.15247921382632088	0.11102609342184441
MHW005_trimmed_clipped_R1_paired	0.3512671953916541	0.6552633383594094
MHW005_trimmed_clipped_R2_paired	0.3208324925418357	0.9504380959744565
MHW006_trimmed_clipped_R1_paired	0.3335314082067471	0.9640153327043015
MHW006_trimmed_clipped_R2_paired	0.44115602637765383	1.972953574264912
MHW007_trimmed_clipped_R1_paired	0.1320049528131603	0.10188308973939711
MHW007_trimmed_clipped_R2_paired	0.23563006450592117	0.5997054543211251
MHW008_trimmed_clipped_R1_paired	0.16197252167203557	0.1489474048024645
MHW008_trimmed_clipped_R2_paired	0.49572530792150765	0.9789394102253139
MHW009_trimmed_clipped_R1_paired	0.0	0.0
MHW009_trimmed_clipped_R2_paired	0.10372748136140639	0.0
MHW010_trimmed_clipped_R1_paired	0.0	0.0
MHW010_trimmed_clipped_R2_paired	0.1077380605937105	0.0
MHW011_trimmed_clipped_R1_paired	0.0	0.0
MHW011_trimmed_clipped_R2_paired	0.10737400352925121	0.0
MHW012_trimmed_clipped_R1_paired	0.12548916708776836	0.0
MHW012_trimmed_clipped_R2_paired	0.14802939332828663	0.2081181269327384
MHW013_trimmed_clipped_R1_paired	0.0	0.0
MHW013_trimmed_clipped_R2_paired	0.1494158174970886	0.0
MHW014_trimmed_clipped_R1_paired	0.0	0.0
MHW014_trimmed_clipped_R2_paired	0.1412204596866415	0.2343395504178455
MHW015_trimmed_clipped_R1_paired	0.0	0.0
MHW015_trimmed_clipped_R2_paired	0.0	0.0
