Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
EXP001_trimmed_clipped_R1_paired	EXP001_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55836652.0	0.0	1-150	44.0	72.52353201038443	144.87291562538528	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
EXP001_trimmed_clipped_R2_paired	EXP001_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55836652.0	0.0	1-150	44.0	72.08989888636098	141.6544137173554	pass	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
EXP002_trimmed_clipped_R1_paired	EXP002_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47434980.0	0.0	1-150	44.0	75.03342839621533	144.77160667085766	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
EXP002_trimmed_clipped_R2_paired	EXP002_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47434980.0	0.0	1-150	44.0	74.54891932879221	141.8332064227707	pass	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
EXP157_trimmed_clipped_R1_paired	EXP157_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44141324.0	0.0	1-150	47.0	74.80470316549106	143.0866008459556	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
EXP157_trimmed_clipped_R2_paired	EXP157_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44141324.0	0.0	1-150	47.0	74.29513102395259	140.69168951524878	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
EXP158_trimmed_clipped_R1_paired	EXP158_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57199273.0	0.0	1-150	45.0	73.89843891524052	144.49236709704334	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
EXP158_trimmed_clipped_R2_paired	EXP158_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57199273.0	0.0	1-150	45.0	73.40697745384529	141.98716345573132	pass	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
EXP159_trimmed_clipped_R1_paired	EXP159_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51770263.0	0.0	1-150	45.0	74.97020910328752	144.72123274706948	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
EXP159_trimmed_clipped_R2_paired	EXP159_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51770263.0	0.0	1-150	45.0	74.36046474323254	142.16851376629089	pass	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
