Sample	Unique Reads	Duplicate Reads
EXP001_trimmed_clipped_R1_paired	40494713.0	15341939.0
EXP001_trimmed_clipped_R2_paired	40252586.0	15584066.0
EXP002_trimmed_clipped_R1_paired	35592092.0	11842888.0
EXP002_trimmed_clipped_R2_paired	35362265.0	12072715.0
EXP157_trimmed_clipped_R1_paired	33019787.0	11121537.0
EXP157_trimmed_clipped_R2_paired	32794855.0	11346469.0
EXP158_trimmed_clipped_R1_paired	42269370.0	14929903.0
EXP158_trimmed_clipped_R2_paired	41988258.0	15211015.0
EXP159_trimmed_clipped_R1_paired	38812275.0	12957988.0
EXP159_trimmed_clipped_R2_paired	38496609.0	13273654.0
EXP160_trimmed_clipped_R1_paired	37470873.0	12711608.0
EXP160_trimmed_clipped_R2_paired	37287059.0	12895422.0
MHW001_trimmed_clipped_R1_paired	9009072.0	2678353.0
MHW001_trimmed_clipped_R2_paired	8896344.0	2791081.0
MHW002_trimmed_clipped_R1_paired	12221939.0	3017118.0
MHW002_trimmed_clipped_R2_paired	12127297.0	3111760.0
MHW003_trimmed_clipped_R1_paired	29006656.0	5229804.0
MHW003_trimmed_clipped_R2_paired	28687160.0	5549300.0
MHW004_trimmed_clipped_R1_paired	26453345.0	6299316.0
MHW004_trimmed_clipped_R2_paired	26232411.0	6520250.0
MHW005_trimmed_clipped_R1_paired	12654152.0	3590462.0
MHW005_trimmed_clipped_R2_paired	12533614.0	3711000.0
MHW006_trimmed_clipped_R1_paired	11193724.0	3199823.0
MHW006_trimmed_clipped_R2_paired	10885696.0	3507851.0
MHW007_trimmed_clipped_R1_paired	23164191.0	4619615.0
MHW007_trimmed_clipped_R2_paired	22825709.0	4958097.0
MHW008_trimmed_clipped_R1_paired	23122063.0	4509167.0
MHW008_trimmed_clipped_R2_paired	22426633.0	5204597.0
MHW009_trimmed_clipped_R1_paired	33610697.0	6833744.0
MHW009_trimmed_clipped_R2_paired	33399589.0	7044852.0
MHW010_trimmed_clipped_R1_paired	36353781.0	7871073.0
MHW010_trimmed_clipped_R2_paired	36124290.0	8100564.0
MHW011_trimmed_clipped_R1_paired	33503232.0	7125783.0
MHW011_trimmed_clipped_R2_paired	33280671.0	7348344.0
MHW012_trimmed_clipped_R1_paired	38517955.0	10035240.0
MHW012_trimmed_clipped_R2_paired	38212709.0	10340486.0
MHW013_trimmed_clipped_R1_paired	37568669.0	8467287.0
MHW013_trimmed_clipped_R2_paired	37278470.0	8757486.0
MHW014_trimmed_clipped_R1_paired	32197755.0	7495502.0
MHW014_trimmed_clipped_R2_paired	31832522.0	7860735.0
MHW015_trimmed_clipped_R1_paired	32426620.0	4654260.0
MHW015_trimmed_clipped_R2_paired	32220594.0	4860286.0
MHW016_trimmed_clipped_R1_paired	37065110.0	8172254.0
MHW016_trimmed_clipped_R2_paired	36540698.0	8696666.0
MHW017_trimmed_clipped_R1_paired	33657950.0	9167249.0
MHW017_trimmed_clipped_R2_paired	33075861.0	9749338.0
MHW018_trimmed_clipped_R1_paired	22114350.0	14948503.0
MHW018_trimmed_clipped_R2_paired	21628937.0	15433916.0
MHW019_trimmed_clipped_R1_paired	21902717.0	8182353.0
MHW019_trimmed_clipped_R2_paired	21749223.0	8335847.0
