Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MHW023_R2_001	MHW023_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34127970.0	0.0	150.0	56.0	64.25410947197896	150.0	pass	pass	fail	pass	fail	fail	pass	pass	warn	fail	fail
MHW024_R1_001	MHW024_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75377125.0	0.0	150.0	56.0	36.459184780915514	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
MHW024_R2_001	MHW024_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75377125.0	0.0	150.0	61.0	38.13342559216715	150.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
MHW025_R1_001	MHW025_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76815841.0	0.0	150.0	56.0	39.82775928036162	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
MHW025_R2_001	MHW025_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76815841.0	0.0	150.0	61.0	41.803521347225725	150.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
MHW026_R1_001	MHW026_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54537940.0	0.0	150.0	53.0	48.48242807928705	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
MHW026_R2_001	MHW026_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54537940.0	0.0	150.0	57.0	49.6619061693331	150.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
MHW027_R1_001	MHW027_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80958814.0	0.0	150.0	55.0	43.826174068149435	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
MHW027_R2_001	MHW027_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80958814.0	0.0	150.0	60.0	45.3769611759517	150.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
MHW028_R1_001	MHW028_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66365518.0	0.0	150.0	60.0	32.39076119045293	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
