Sample	Unique Reads	Duplicate Reads
MHW067_R1_001	39395318.0	8142276.0
MHW067_R2_001	39140235.0	8397359.0
MHW068_R1_001	38653933.0	8050206.0
MHW068_R2_001	38422764.0	8281375.0
MHW069_R1_001	33693601.0	7103831.0
MHW069_R2_001	33260448.0	7536984.0
MHW070_R1_001	31067232.0	7129597.0
MHW070_R2_001	30500808.0	7696021.0
MHW071_R1_001	33410183.0	5728377.0
MHW071_R2_001	32900264.0	6238296.0
MHW072_R1_001	33816305.0	7152928.0
MHW072_R2_001	33410653.0	7558580.0
MHW073_R1_001	30065083.0	5827621.0
MHW073_R2_001	29938532.0	5954172.0
MHW074_R1_001	39912989.0	8728603.0
MHW074_R2_001	39827158.0	8814434.0
MHW075_R1_001	31217350.0	6125861.0
MHW075_R2_001	31022468.0	6320743.0
MHW076_R1_001	36040214.0	7947208.0
MHW076_R2_001	35730533.0	8256889.0
MHW077_R1_001	30873639.0	6852220.0
MHW077_R2_001	30596762.0	7129097.0
MHW078_R1_001	30478862.0	7206405.0
MHW078_R2_001	30110749.0	7574518.0
MHW079_R1_001	35779037.0	8112083.0
MHW079_R2_001	35437796.0	8453324.0
MHW080_R1_001	31408718.0	7040346.0
MHW080_R2_001	30795976.0	7653088.0
MHW081_R1_001	30766528.0	6122247.0
MHW081_R2_001	30590275.0	6298500.0
MHW082_R1_001	33576223.0	6691843.0
MHW082_R2_001	33390820.0	6877246.0
MHW083_R1_001	33510598.0	6878077.0
MHW083_R2_001	33329578.0	7059097.0
MHW084_R1_001	35862379.0	7857365.0
MHW084_R2_001	35603878.0	8115866.0
MHW085_R1_001	29840901.0	6990307.0
MHW085_R2_001	29595112.0	7236096.0
MHW086_R1_001	32410734.0	7056762.0
MHW086_R2_001	31856631.0	7610865.0
MHW087_R1_001	38237854.0	8876442.0
MHW087_R2_001	37880269.0	9234027.0
MHW088_R1_001	34449151.0	7761357.0
MHW088_R2_001	34105879.0	8104629.0
MHW089_R1_001	32982110.0	7307788.0
MHW089_R2_001	32878754.0	7411144.0
MHW090_R1_001	30273181.0	6232593.0
MHW090_R2_001	30208223.0	6297551.0
MHW091_R1_001	27455265.0	7885823.0
MHW091_R2_001	27407659.0	7933429.0
MHW092_R1_001	27424334.0	8569300.0
MHW092_R2_001	27387518.0	8606116.0
MHW093_R1_001	30244104.0	11086859.0
MHW093_R2_001	30279833.0	11051130.0
MHW094_R1_001	31870506.0	12123685.0
MHW094_R2_001	31943726.0	12050465.0
MHW095_R1_001	32802329.0	11401425.0
MHW095_R2_001	32830712.0	11373042.0
MHW096_R1_001	39201794.0	13501756.0
MHW096_R2_001	39192926.0	13510624.0
MHW097_R1_001	26507324.0	11703897.0
MHW097_R2_001	26245186.0	11966035.0
MHW098_R1_001	25791422.0	8015568.0
MHW098_R2_001	25250872.0	8556118.0
MHW099_R1_001	27242857.0	7095620.0
MHW099_R2_001	27205534.0	7132943.0
MHW100_R1_001	28740830.0	8304655.0
MHW100_R2_001	28742282.0	8303203.0
MHW101_R1_001	28995177.0	7039997.0
MHW101_R2_001	28870307.0	7164867.0
MHW102_R1_001	31281689.0	8948825.0
MHW102_R2_001	31060782.0	9169732.0
MHW103_R1_001	28626813.0	6305486.0
MHW103_R2_001	28478067.0	6454232.0
MHW104_R1_001	27389397.0	7475351.0
MHW104_R2_001	27058965.0	7805783.0
MHW105_R1_001	28565382.0	7813573.0
MHW105_R2_001	28369366.0	8009589.0
MHW106_R1_001	28844291.0	7214939.0
MHW106_R2_001	28588857.0	7470373.0
MHW107_R1_001	28473427.0	6611890.0
MHW107_R2_001	28392276.0	6693041.0
MHW108_R1_001	30304696.0	7353133.0
MHW108_R2_001	30274259.0	7383570.0
MHW109_R1_001	28481990.0	7105677.0
MHW109_R2_001	28463440.0	7124227.0
MHW110_R1_001	31168696.0	10186746.0
MHW110_R2_001	31080330.0	10275112.0
MHW111_R1_001	30780498.0	7686322.0
MHW111_R2_001	30572647.0	7894173.0
MHW112_R1_001	25394775.0	7157278.0
MHW112_R2_001	25019601.0	7532452.0
MHW113_R1_001	26427038.0	8839609.0
MHW113_R2_001	26201977.0	9064670.0
MHW114_R1_001	28076410.0	7728202.0
MHW114_R2_001	27750423.0	8054189.0
MHW115_R1_001	41012341.0	12230987.0
MHW115_R2_001	41022614.0	12220714.0
MHW116_R1_001	30218056.0	7702946.0
MHW116_R2_001	30147495.0	7773507.0
MHW117_R1_001	32170332.0	8986901.0
MHW117_R2_001	32084213.0	9073020.0
MHW118_R1_001	29776612.0	7418065.0
MHW118_R2_001	29776792.0	7417885.0
MHW119_R1_001	33944610.0	10037406.0
MHW119_R2_001	33823118.0	10158898.0
MHW120_R1_001	31824422.0	11531207.0
MHW120_R2_001	31860524.0	11495105.0
MHW121_R1_001	40049717.0	14378724.0
MHW121_R2_001	40015939.0	14412502.0
MHW122_R1_001	34102517.0	10981932.0
MHW122_R2_001	34123076.0	10961373.0
MHW123_R1_001	36835695.0	12848810.0
MHW123_R2_001	36850228.0	12834277.0
MHW124_R1_001	34922682.0	13837493.0
MHW124_R2_001	34883781.0	13876394.0
MHW125_R1_001	35090950.0	11138861.0
MHW125_R2_001	35063862.0	11165949.0
MHW126_R1_001	27019070.0	12505919.0
MHW126_R2_001	27010686.0	12514303.0
MHW127_R1_001	33043601.0	12450165.0
MHW127_R2_001	32970582.0	12523184.0
MHW128_R1_001	38640462.0	12955195.0
MHW128_R2_001	38624457.0	12971200.0
MHW129_R1_001	45279664.0	16233777.0
MHW129_R2_001	45283290.0	16230151.0
MHW130_R1_001	34311266.0	14530847.0
MHW130_R2_001	34305909.0	14536204.0
MHW131_R1_001	39181171.0	18279665.0
MHW131_R2_001	39321604.0	18139232.0
MHW132_R1_001	34137687.0	12967889.0
MHW132_R2_001	34114434.0	12991142.0
MHW133_R1_001	37743427.0	14153782.0
MHW133_R2_001	37749735.0	14147474.0
MHW134_R1_001	32793374.0	9575755.0
MHW134_R2_001	32743621.0	9625508.0
MHW135_R1_001	35813766.0	13885976.0
MHW135_R2_001	35741108.0	13958634.0
MHW136_R1_001	41415131.0	9154579.0
MHW136_R2_001	41320518.0	9249192.0
MHW137_R1_001	42904937.0	10245606.0
MHW137_R2_001	42755925.0	10394618.0
MHW138_R1_001	48249076.0	11625226.0
MHW138_R2_001	48132557.0	11741745.0
MHW139_R1_001	44001469.0	11110098.0
MHW139_R2_001	43707454.0	11404113.0
MHW140_R1_001	38881668.0	8636864.0
MHW140_R2_001	38742621.0	8775911.0
MHW141_R1_001	40062911.0	8924760.0
MHW141_R2_001	39978172.0	9009499.0
MHW142_R1_001	40472791.0	9116655.0
MHW142_R2_001	40286760.0	9302686.0
MHW143_R1_001	44111667.0	10217884.0
MHW143_R2_001	43999954.0	10329597.0
MHW144_R1_001	38306572.0	8110801.0
MHW144_R2_001	38225350.0	8192023.0
MHW145_R1_001	41218909.0	9896003.0
MHW145_R2_001	41157781.0	9957131.0
MHW146_R1_001	38023502.0	9828522.0
MHW146_R2_001	37918716.0	9933308.0
MHW147_R1_001	38769191.0	9681297.0
MHW147_R2_001	38687109.0	9763379.0
MHW148_R1_001	42811336.0	11211431.0
MHW148_R2_001	42819324.0	11203443.0
MHW149_R1_001	46311780.0	10974830.0
MHW149_R2_001	46179047.0	11107563.0
MHW150_R1_001	43635288.0	11289572.0
MHW150_R2_001	43500651.0	11424209.0
MHW151_R1_001	46874152.0	11660784.0
MHW151_R2_001	46830193.0	11704743.0
MHW152_R1_001	41889660.0	10937785.0
MHW152_R2_001	41868905.0	10958540.0
MHW153_R1_001	44106533.0	10934141.0
MHW153_R2_001	43976198.0	11064476.0
MHW154_R1_001	39562883.0	10137954.0
MHW154_R2_001	39563543.0	10137294.0
MHW155_R1_001	44353681.0	11619721.0
MHW155_R2_001	44111886.0	11861516.0
MHW156_R1_001	33622487.0	10762164.0
MHW156_R2_001	33637980.0	10746671.0
MHW157_R1_001	38047399.0	11705478.0
MHW157_R2_001	38040668.0	11712209.0
MHW158_R1_001	42234273.0	14698813.0
MHW158_R2_001	42191633.0	14741453.0
MHW159_R1_001	33052298.0	10538868.0
MHW159_R2_001	33179898.0	10411268.0
MHW160_R1_001	35166905.0	10097981.0
MHW160_R2_001	35162485.0	10102401.0
MHW161_R1_001	34198479.0	10542353.0
MHW161_R2_001	34234050.0	10506782.0
MHW162_R1_001	34940386.0	10257981.0
MHW162_R2_001	34941708.0	10256659.0
MHW163_R1_001	35288702.0	10573877.0
MHW163_R2_001	35174340.0	10688239.0
MHW164_R1_001	32936187.0	9666950.0
MHW164_R2_001	32917456.0	9685681.0
MHW165_R1_001	36651999.0	11233566.0
MHW165_R2_001	36606976.0	11278589.0
MHW166_R1_001	38665877.0	12719439.0
MHW166_R2_001	38677902.0	12707414.0
MHW167_R1_001	35599623.0	10453388.0
MHW167_R2_001	35570655.0	10482356.0
MHW168_R1_001	34619969.0	10211134.0
MHW168_R2_001	34635495.0	10195608.0
MHW169_R1_001	33835859.0	9414510.0
MHW169_R2_001	33793202.0	9457167.0
MHW170_R1_001	35911033.0	10790425.0
MHW170_R2_001	35951283.0	10750175.0
MHW171_R1_001	47139909.0	14819005.0
MHW171_R2_001	47139454.0	14819460.0
MHW172_R1_001	33141160.0	10367727.0
MHW172_R2_001	33184867.0	10324020.0
MHW173_R1_001	35129451.0	10205675.0
MHW173_R2_001	35101475.0	10233651.0
MHW174_R1_001	37861607.0	10834107.0
MHW174_R2_001	37861133.0	10834581.0
MHW175_R1_001	33259656.0	9352996.0
MHW175_R2_001	33239189.0	9373463.0
MHW176_R1_001	32471355.0	6930442.0
MHW176_R2_001	32355055.0	7046742.0
MHW177_R1_001	29377370.0	6342108.0
MHW177_R2_001	29097576.0	6621902.0
MHW178_R1_001	27467228.0	6113752.0
MHW178_R2_001	27068819.0	6512161.0
MHW179_R1_001	28358470.0	6392340.0
MHW179_R2_001	28029422.0	6721388.0
MHW180_R1_001	30121477.0	6379583.0
MHW180_R2_001	29715608.0	6785452.0
MHW181_R1_001	25998099.0	5773799.0
MHW181_R2_001	25949673.0	5822225.0
MHW182_R1_001	32406431.0	7315314.0
MHW182_R2_001	32326279.0	7395466.0
MHW183_R1_001	31758717.0	7264677.0
MHW183_R2_001	31672392.0	7351002.0
MHW184_R1_001	31346405.0	7101968.0
MHW184_R2_001	31211401.0	7236972.0
MHW185_R1_001	27390075.0	6312903.0
MHW185_R2_001	27112619.0	6590359.0
MHW186_R1_001	37709543.0	11965255.0
MHW186_R2_001	37631256.0	12043542.0
MHW187_R1_001	39651925.0	12870317.0
MHW187_R2_001	39620180.0	12902062.0
MHW188_R1_001	38512530.0	12014096.0
MHW188_R2_001	38519163.0	12007463.0
MHW189_R1_001	41229122.0	13457551.0
MHW189_R2_001	41230037.0	13456636.0
MHW190_R1_001	34834715.0	10287493.0
MHW190_R2_001	34814542.0	10307666.0
MHW191_R1_001	36888032.0	11072254.0
MHW191_R2_001	36844815.0	11115471.0
MHW192_R1_001	29069522.0	7945521.0
MHW192_R2_001	29039149.0	7975894.0
MHW193_R1_001	36877235.0	10799227.0
MHW193_R2_001	36899278.0	10777184.0
MHW194_R1_001	35460757.0	9712130.0
MHW194_R2_001	35356175.0	9816712.0
MHW195_R1_001	36909787.0	11049236.0
MHW195_R2_001	36832685.0	11126338.0
MHW196_R1_001	24806565.0	10005627.0
MHW196_R2_001	24810460.0	10001732.0
MHW197_R1_001	29867458.0	7204077.0
MHW197_R2_001	29816105.0	7255430.0
MHW198_R1_001	24987375.0	15800549.0
MHW198_R2_001	25253264.0	15534660.0
MHW199_R1_001	30014605.0	8351698.0
MHW199_R2_001	30029665.0	8336638.0
MHW200_R1_001	31871570.0	7432060.0
MHW200_R2_001	31846475.0	7457155.0
MHW201_R1_001	27017023.0	8653103.0
MHW201_R2_001	27047080.0	8623046.0
